"","node","introns"
"1",286,0.429436507936508
"2",285,0.464758125472411
"3",288,0.446167800453515
"4",290,0.477771352985639
"5",289,0.475912320483749
"6",287,0.529824263038549
"7",284,0.561427815570673
"8",291,0.436872637944066
"9",283,0.550273620559335
"10",292,0.334625850340136
"11",282,0.527965230536659
"12",281,0.63021201814059
"13",280,0.695278155706727
"14",295,0.847718820861678
"15",300,0.648802343159486
"16",299,0.758485260770975
"17",298,0.808679138321995
"18",297,0.825410430839002
"19",302,0.873745275888133
"20",301,0.907207860922147
"21",296,0.959260770975057
"22",294,0.996441421012849
"23",306,0.933234315948602
"24",305,0.912784958427815
"25",304,0.981569160997732
"26",312,0.801243008314437
"27",311,0.870027210884354
"28",315,0.762203325774754
"29",314,0.853295918367347
"30",318,0.795665910808768
"31",317,0.844000755857899
"32",316,0.901630763416478
"33",313,1.02060884353741
"34",310,1.09311111111111
"35",309,1.10798337112623
"36",308,1.12471466364324
"37",320,0.73245880574452
"38",319,0.775216553287982
"39",307,1.13215079365079
"40",303,1.27343726379441
"41",293,1.36638888888889
"42",279,1.50023922902494
"43",278,1.78281216931217
"44",327,0.708291383219955
"45",328,0.702714285714286
"46",326,0.739894935752079
"47",325,0.812397203325775
"48",330,0.771498488284203
"49",329,0.799383975812547
"50",324,0.953683673469388
"51",323,1.05407142857143
"52",322,1.10240627362056
"53",333,0.31603552532124
"54",338,0.36808843537415
"55",337,0.382960695389267
"56",336,0.382960695389267
"57",335,0.42014134542706
"58",339,0.382960695389267
"59",334,0.462899092970522
"60",332,0.481489417989418
"61",331,0.704573318216175
"62",321,1.30875888133031
"63",277,2.09512962962963
"64",344,0.624634920634921
"65",343,0.697137188208617
"66",342,0.745472033257747
"67",345,0.62649395313681
"68",341,0.790088813303099
"69",350,0.67854686318972
"70",349,0.704573318216175
"71",354,0.671110733182162
"72",353,0.700855253212396
"73",352,0.738035903250189
"74",351,0.812397203325775
"75",348,0.870027210884354
"76",357,0.537260393046107
"77",356,0.67854686318972
"78",363,0.641366213151927
"79",362,0.671110733182162
"80",361,0.704573318216175
"81",365,0.461040060468632
"82",364,0.561427815570673
"83",360,0.775216553287982
"84",368,0.687842025699168
"85",370,0.602326530612245
"86",369,0.648802343159486
"87",367,0.754767195767196
"88",372,0.641366213151927
"89",371,0.6822649281935
"90",366,0.83842365835223
"91",359,0.957401738473167
"92",377,0.529824263038549
"93",376,0.585595238095238
"94",375,0.609762660619803
"95",374,0.665533635676493
"96",373,0.715727513227513
"97",358,0.987146258503401
"98",355,1.07080272108844
"99",347,1.23253854875283
"100",384,0.36437037037037
"101",383,0.466617157974301
"102",382,0.600467498110355
"103",386,0.0167312925170068
"104",385,0.0204493575207861
"105",381,0.527965230536659
"106",387,0.613480725623583
"107",380,0.780793650793651
"108",391,0.795665910808768
"109",390,0.842141723356009
"110",389,0.775216553287982
"111",388,0.756626228269085
"112",379,0.983428193499622
"113",392,0.767780423280423
"114",378,1.13958692365835
"115",346,1.41100566893424
"116",340,1.34036243386243
"117",276,2.32007256235828
"118",395,0.204493575207861
"119",402,0.0185903250188964
"120",401,0.0185903250188964
"121",406,0.0111541950113379
"122",408,0.0111541950113379
"123",407,0.0130132275132275
"124",405,0.0148722600151172
"125",404,0.0204493575207861
"126",403,0.0297445200302343
"127",400,0.0297445200302343
"128",410,0.00185903250188964
"129",409,0.00185903250188964
"130",399,0.0297445200302343
"131",414,0.0204493575207861
"132",413,0.026026455026455
"133",412,0.0557709750566893
"134",411,0.0594890400604686
"135",398,0.0725022675736961
"136",397,0.0762203325774754
"137",416,0.0371806500377929
"138",421,0.00371806500377929
"139",423,0
"140",422,0.00371806500377929
