node	inferred introns
286	227.24722734783000
285	234.66302074543100
288	231.3293855322520
290	249.1668869947670
289	238.3661937700080
287	252.82505547797500
284	249.17780905534700
291	233.6389222307290
283	236.56374931464300
292	171.75131249413000
282	204.43049993727300
281	249.48718414513900
280	285.1706807261380
295	443.4017546734930
300	408.8971557333600
299	418.2785214608070
298	428.14238945952500
297	431.53206666528200
302	465.48817288197700
301	464.09174364840600
296	468.4900488702550
294	469.88961735844400
306	505.37701498627500
305	462.46922048146500
304	468.53196266482700
312	427.019760654083
311	453.33698793150400
315	405.5384400165250
314	447.05279225217200
318	406.79165271152300
317	406.6712843239940
316	439.9126085521400
313	467.46238744570000
310	478.8165248114310
309	
308	485.6906160878280
320	402.3865230588840
319	411.3615555834030
307	471.16461384411200
303	487.9238107992240
293	475.8353650887200
279	466.5648021730010
278	661.7648361122260
327	379.9086578996500
328	382.37802996765800
326	388.01260100556800
325	
330	418.12687656098600
329	433.89042932376200
324	492.75320741792100
323	497.99040613127200
322	495.05668058782400
333	161.95828755779900
338	200.68110533894700
337	206.55293824482500
336	176.47265216514200
335	177.50336278685000
339	201.73647953621300
334	185.44234037099200
332	180.96959397531500
331	346.4672413077050
321	513.1597042211520
277	661.6568708788570
344	349.0914473776210
343	348.089039475772
342	348.0170155480700
345	352.65177165111500
341	362.235586992169
350	371.0758190180920
349	379.26835940612500
354	368.86719057724500
353	379.26392107597900
352	400.00569547600500
351	424.6287672293470
348	437.37726262517300
357	303.5881394010890
356	401.6664237478450
363	341.88631356822200
362	351.7677045862820
361	362.4976151583790
365	245.23944369276700
364	328.69506568077000
360	424.92060525865100
368	398.77163977044500
370	331.39818307325900
369	362.00787220962400
367	399.80753166408200
372	363.0934409679280
371	375.50179604967800
366	444.8724742165930
359	475.3011127607660
377	299.8766040532980
376	312.7278831496810
375	325.16568662026000
374	351.3039383983920
373	383.6448980962270
358	466.850280655748
355	510.90039253872200
347	510.8066803313590
384	198.72942393022400
383	296.08474624884200
382	407.32223210202200
386	211.40835439142300
385	211.3320668786060
381	361.08605657870200
387	345.6064348731540
380	446.2779432937450
391	448.16323787050600
390	451.38490572098700
389	415.16722052335300
388	413.1825616679390
379	480.17715004952500
392	391.45888240299800
378	488.11730496250500
346	516.9104519247110
340	339.34829699985200
276	640.6326699683670
395	151.71121549236200
402	10.00358896053240
401	10.003327926665500
406	6.0150014238247500
408	5.8916406439106200
407	5.073737673053310
405	6.014778864955410
404	9.313169519082530
403	10.690807655337900
400	10.003106541905300
410	2.52237727604474
409	2.452830840441840
399	10.00298396187030
414	7.329678847372770
413	13.028591845116500
412	33.24186830769220
411	28.5251991982089
398	28.415939000762800
397	28.320400718060900
416	20.873531994093900
421	2.129967432149660
423	0.30246875588310700
422	2.009593950438030
420	2.009129438870740
419	2.038297311969030
425	3.015608427618890
426	4.021342585643240
424	
418	
417	4.020276830701190
415	27.842959009334700
396	46.04993513786280
394	151.58549537398500
393	1079.7933729445300
275	1921.482842413130
429	1762.8342104526600
431	469.0320877217980
434	233.01737234388400
433	305.9324905660820
432	2168.463555933390
430	2168.3391595633000
428	2327.0608836174300
436	1379.4148897157400
438	893.0533874029400
437	914.9332301226920
435	1233.4668340836100
427	2590.1709829388500
274	2590.0573465235300
452	2456.71554160714
451	2518.377346303480
453	2285.3231565387200
450	2544.193460748260
454	2318.896156651150
449	2559.7641537786700
448	2604.7388693958700
455	2486.4083511115200
447	2612.8894570631000
461	2463.809538203280
463	2381.773565493320
462	2563.1572012650700
460	2591.919303079970
459	2630.9662288808600
466	2543.7513866546400
469	2442.2211348392700
468	2536.8672325315400
467	2541.7988746421900
465	2594.26960801167
464	2623.6737159908400
458	2635.5245903753600
457	2617.558396951620
473	2428.481917180420
472	2460.6584250619400
471	2531.0950760909200
470	2594.9218382683000
456	2630.385373582540
446	2633.561893409470
445	2691.2636147406000
444	2950.378694484430
475	2879.7576950608100
474	3007.2319486546600
443	3122.33093909544
477	2863.318187398670
476	3570.9605196701400
442	2788.2813584867200
478	1082.8495506618400
441	2541.488064883930
481	245.77066112901000
480	268.7548135985580
487	470.64502619736200
486	1120.562503417920
485	1768.197042752460
484	1991.262159350220
483	1991.139257439900
492	57.00103451273540
495	61.04523621656650
496	48.18102404452640
494	62.639327937626100
493	72.79632519758950
491	76.51339219218530
490	103.60584524353700
489	532.2139827531370
488	657.9662259800200
482	1991.022672008740
479	1598.1828771518000
440	2176.7377879957400
499	2987.3000839819900
498	2728.9027049600700
503	2108.0163341547500
502	2116.919857994570
501	2196.305350301480
500	2325.2788967211200
497	2411.805646051760
439	2087.8084684014600
273	2842.068049820030
507	1169.675282986580
506	1500.0682594895800
505	2325.855338268100
504	3482.690795817200
272	3704.3836299169400
271	4211.281334201060
270	4389.080509536480
508	3706.7193595307500
269	4943.978530097390
516	0.029885074532427800
515	0.03696371398210290
514	0.07692012849845590
518	0.03668951430050950
517	0.07357114288816190
513	0.3775986292418750
519	0.36925350910113700
512	2.590042823179650
511	19.306429308876600
522	0.3684793740687920
521	2.5821840491247000
520	19.02272274988310
510	142.40926114544700
509	1116.557500891790
268	5173.606382226340
267	4780.11020564528
266	3144.0835089283200
