"","V1"
"158046",0.36702995249177
"1263415",0.368247112536942
"1442369",0.355017843909971
"1279043",0.378174635420899
"1182543",0.364312395533811
"1182542",0.344170533370462
"1182541",0.348434233429062
"1016849",0.371699403398932
"348802",0.398317382414366
"91928",0.380213858560445
"1182545",0.325040590627155
"212818",0.361077417499281
"1220924",0.302319356311704
"1664694",0.386599854281593
"447095",0.670790098212923
"544712",0.719147159279497
"554155",0.638788236151927
"647933",0.69366208517076
"1215334",0.617558630001168
"663331",0.533678285984652
"663202",0.536814824372349
"336963",0.680202201114749
"454286",0.833881588814388
"454284",0.723077443365644
"28573",0.710702278586316
"441959",0.75040899620756
"1408163",0.630405382715597
"1356009",0.633049120655206
"1069201",0.594781523420741
"425011",0.67281323331283
"308745",0.674342207016871
"227321",0.65429368020664
"454130",0.650125485567538
"341663",0.668077402439428
"1509407",0.643387728841317
"332952",0.638118271285683
"1388766",0.540885605839049
"344612",1.01004782169544
"293939",0.630904094845916
"331117",1.00193264552303
"1403190",0.615553104562472
"229535",0.606376019976986
"60172",0.600979740446893
"933388",0.630508079172899
"1328760",0.891691046382113
"183478",0.466402554788582
"930090",0.598553310936538
"861557",0.568855546341577
"426418",0.59953580177064
"321614",0.541264599689054
"985895",0.592687792347153
"1126212",0.627409235334914
"420778",0.71972140711605
"1287680",0.741498797084276
"1168221",0.726747593527727
"253628",0.735288329069081
"1043002",0.497019486370443
"766039",0.293588225668274
"717646",0.326041093963765
"692275",0.333534411495287
"383855",0.350308352817538
"321146",0.303835690670208
"113226",0.298923710398768
"675120",0.354312593488023
"1047168",0.31509635924692
"336722",0.387023672673494
"546991",0.549318614664504
"52586",0.549975546973307
"1072389",0.61469498593149
"1116229",0.538869464323259
"1432307",0.518874043325983
"665079",0.538191629122513
"526221",0.663086002254492
"498257",0.569194419624397
"100787",0.708137496979008
"1209931",0.553162165583
"80884",0.565450436372373
"1173701",0.554139421478444
"708197",0.494528872939798
"1213857",0.572040240288246
"1213859",0.616672913483193
"563466",0.617249967886319
"88771",0.467102512381715
"72032",0.436103488827911
"398673",0.520736292453146
"1344414",0.536793821050402
"413071",0.518780657941574
"5544",0.501911183679103
"1531966",0.373777436302095
"983644",0.348381976622476
"655819",0.383433775172663
"1163406",0.483882224307327
"98403",0.494112342617498
"1043627",0.539093385558548
"268505",0.477758629515246
"911162",0.532444710779272
"1276136",0.457767324794813
"1159556",0.443926352937419
"1111077",0.501948226264282
"5518",0.464265101732885
"1089452",0.489201276341911
"5127",0.476480528156561
"334819",3.78787878787879
"660122",0.496820984695997
"78410",0.469603498622547
"655863",0.469991140742075
"1398154",0.283660974536444
"1391915",0.291431168638986
"1262450",0.289895986534256
"242507",0.379170879676441
"644352",0.648134812040905
"644358",0.317863954227591
"1214573",0.58332638897156
"1286976",0.588732726046606
"367110",0.447448693835546
"515849",0.490295637162188
"306901",0.649582589193006
"759272",0.556869326416966
"578455",0.664778356852386
"1229662",0.440976987711761
"1287681",0.682946835352752
"77044",0.787252865222707
"675824",1.24039471502018
"284591",0.0566900985740773
"1173061",0.171885768684727
"284592",0.013052551202711
"58627",0.0099937039665011
"559304",0.0081829712368561
"322104",0.0777075594251668
"619300",0.0452561935711836
"273371",0.00983538838309493
"379508",0.00169932197053376
"1245528",0.0182245026781735
"573826",0.00983830741759188
"237561",0
"294747",0.00171939477303989
"294746",0
"306902",0.00178649587766076
"498019",0
"644223",0.0241200904847966
"1382522",0.0418477278357694
"1124627",0.0422105674155525
"4909",0.0449301336421864
"871575",0.0156124233256543
"590646",0.0481554606440237
"4903",0.0447507383871834
"1041607",0.0283885016548827
"1246595",0
"1355161",0
"436907",0.0071108835628371
"1071380",0
"226230",0
"1160507",0
"559292",0.00328537776916279
"45286",0.00511277939209053
"1034331",0.00506691708496882
"559295",0.00500190906195865
"1245769",0.00836965764752359
"48691",3.07335508279992
"698492",0.370035544471203
